city,country,host,id,price,review,stars,timestamp,titre
"wadi musa, jordan",jordan,besthoteloffers.net,2001230,1773.0,8.2,3,2018-06-24 12:51:48.017913,tetra tree hotel
"dbayeh, lebanon",lebanon,besthoteloffers.net,1528970,8767.0,8.1,5,2018-06-24 12:51:48.017913,le royal hotels & resorts beirut
"amman, jordan",jordan,besthoteloffers.net,1650602,1277.0,7.6,4,2018-06-24 12:51:48.017913,barakat hotel apartments
"al hamra, beirut",lebanon,besthoteloffers.net,1719899,3508.0,7.7,4,2018-06-24 12:51:48.017913,queens suite hotel beirut
"dbayeh, lebanon",lebanon,besthoteloffers.net,1772680,2923.0,8.0,3,2018-06-24 12:51:48.017913,residence de france dbayeh
"aqaba, jordan",jordan,besthoteloffers.net,1041983,2223.0,6.5,4,2018-06-24 12:51:48.017913,golden tulip aqaba
"al hamra, beirut",lebanon,besthoteloffers.net,1718917,3157.0,8.1,4,2018-06-24 12:51:48.017913,35 rooms
"amman, jordan",jordan,besthoteloffers.net,1196420,5488.0,8.0,5,2018-06-24 12:51:48.017913,le royal hotel amman
"beirut, lebanon",lebanon,besthoteloffers.net,2677067,2789.0,8.7,4,2018-06-24 12:51:48.017913,three o nine hotel
"wadi musa, jordan",jordan,besthoteloffers.net,1650660,1334.0,8.0,3,2018-06-24 12:51:48.017913,candles hotel
"faraya, lebanon",lebanon,besthoteloffers.net,1520353,5092.0,8.2,4,2018-06-24 12:51:48.017913,faraya village club
"amman, jordan",jordan,besthoteloffers.net,1041533,3546.0,7.8,5,2018-06-24 12:51:48.017913,landmark amman hotel & conference center
"parliament square & downtown, beirut",lebanon,besthoteloffers.net,1043734,7016.0,8.0,5,2018-06-24 12:51:48.017913,etoile suites boutique hotel downtown
"aqaba, jordan",jordan,besthoteloffers.net,1969365,2098.0,8.6,3,2018-06-24 12:51:48.017913,cedar hotel aqaba
"achrafieh, beirut",lebanon,besthoteloffers.net,2999766,4794.0,9.7,4,2018-06-24 12:51:48.017913,the key beirut
"amman, jordan",jordan,besthoteloffers.net,1884042,2657.0,7.4,4,2018-06-24 12:51:48.017913,corp amman hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1772647,9538.0,9.2,3,2018-06-24 12:51:48.017913,staybridge suites hotel
"amman, jordan",jordan,besthoteloffers.net,1650777,2146.0,8.0,3,2018-06-24 12:51:48.017913,larsa hotel
"furn al chebak, lebanon",lebanon,besthoteloffers.net,1972143,4338.0,8.9,5,2018-06-24 12:51:48.017913,the smallville hotel
"amman, jordan",jordan,besthoteloffers.net,3022995,3787.0,8.6,5,2018-06-24 12:51:48.017913,thousand nights hotel
"jbeil byblos, lebanon",lebanon,besthoteloffers.net,2522368,5618.0,,4,2018-06-24 12:51:48.017913,whitelace resort
"amman, jordan",jordan,besthoteloffers.net,1988127,2459.0,8.6,3,2018-06-24 12:51:48.017913,khuttar apartment
"sin el fil, lebanon",lebanon,besthoteloffers.net,1196879,4820.0,7.9,5,2018-06-24 12:51:48.017913,hilton beirut metropolitan palace
"wadi musa, jordan",jordan,besthoteloffers.net,1275649,4579.0,8.5,5,2018-06-24 12:51:48.017913,movenpick resort petra
"sidon, lebanon",lebanon,besthoteloffers.net,1805131,7796.0,6.5,5,2018-06-24 12:51:48.017913,warwick pangea beach resort and spa
"amman, jordan",jordan,besthoteloffers.net,1196423,4820.0,8.7,5,2018-06-24 12:51:48.017913,le grand amman managed by accorhotels
"sidon, lebanon",lebanon,besthoteloffers.net,2185119,7023.0,,4,2018-06-24 12:51:48.017913,rmeileh resort
"amman, jordan",jordan,besthoteloffers.net,1041537,2816.0,7.0,4,2018-06-24 12:51:48.017913,amman west hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1719731,3898.0,8.3,4,2018-06-24 12:51:48.017913,the bayview hotel
"amman, jordan",jordan,besthoteloffers.net,1228857,2415.0,8.1,4,2018-06-24 12:51:48.017913,toledo amman hotel
"raoucheh, beirut",lebanon,besthoteloffers.net,2723809,4473.0,8.4,4,2018-06-24 12:51:48.017913,lancaster suites raouche
"zalka, lebanon",lebanon,besthoteloffers.net,2474377,4872.0,9.2,4,2018-06-24 12:51:48.017913,warwick st 55 hotel
"verdun, beirut",lebanon,besthoteloffers.net,1043738,4054.0,8.8,4,2018-06-24 12:51:48.017913,radisson blu hotel beirut verdun
"amman, jordan",jordan,besthoteloffers.net,1620568,958.0,7.7,2,2018-06-24 12:51:48.017913,arab tower hotel
"amman, jordan",jordan,besthoteloffers.net,1625892,2415.0,6.6,3,2018-06-24 12:51:48.017913,crystal suites amman
"beirut, lebanon",lebanon,besthoteloffers.net,1497016,1351.0,5.9,3,2018-06-24 12:51:48.017913,embassy hotel beirut
"madaba, jordan",jordan,besthoteloffers.net,1162935,1701.0,8.5,2,2018-06-24 12:51:48.017913,salome hotel
"manara, beirut",lebanon,besthoteloffers.net,1528934,2651.0,5.8,3,2018-06-24 12:51:48.017913,mozart hotel beirut
"wadi musa, jordan",jordan,besthoteloffers.net,1529618,2031.0,7.0,3,2018-06-24 12:51:48.017913,petra palace hotel
"beirut, lebanon",lebanon,besthoteloffers.net,3519410,3508.0,8.7,4,2018-06-24 12:51:48.017913,beverly hotel beirut
"amman, jordan",jordan,besthoteloffers.net,3025582,2465.0,8.6,4,2018-06-24 12:51:48.017913,sulaf luxury hotel
"raoucheh, beirut",lebanon,besthoteloffers.net,1719042,2923.0,7.1,4,2018-06-24 12:51:48.017913,le duroy hotel
"aqaba, jordan",jordan,besthoteloffers.net,1041985,5301.0,8.8,5,2018-06-24 12:51:48.017913,movenpick resort & residence aqaba
"tripoli, lebanon",lebanon,besthoteloffers.net,1996400,4852.0,,5,2018-06-24 12:51:48.017913,lamunia hotel
"sin el fil, lebanon",lebanon,besthoteloffers.net,1196875,6919.0,8.9,5,2018-06-24 12:51:48.017913,hilton beirut habtoor grand
"amman, jordan",jordan,besthoteloffers.net,1196422,4840.0,7.7,5,2018-06-24 12:51:48.017913,kempinski hotel amman
"jounieh, lebanon",lebanon,besthoteloffers.net,2211203,4116.0,8.3,5,2018-06-24 12:51:48.017913,jounieh suites hotel
"amman, jordan",jordan,besthoteloffers.net,1521588,2316.0,7.8,3,2018-06-24 12:51:48.017913,ibis amman
"jounieh, lebanon",lebanon,besthoteloffers.net,1720151,3703.0,8.8,4,2018-06-24 12:51:48.017913,princessa hotel
"amman, jordan",jordan,besthoteloffers.net,3027317,3622.0,8.8,4,2018-06-24 12:51:48.017913,seven roses hotel
"al hamra, beirut",lebanon,besthoteloffers.net,1532949,4366.0,7.8,4,2018-06-24 12:51:48.017913,golden tulip serenada - boutique hotel
"amman, jordan",jordan,besthoteloffers.net,1041516,6687.0,8.8,5,2018-06-24 12:51:48.017913,crowne plaza hotel amman
"ehden, lebanon",lebanon,besthoteloffers.net,3024355,11446.0,9.1,5,2018-06-24 12:51:48.017913,mist hotel & spa by warwick
"amman, jordan",jordan,besthoteloffers.net,2677835,3457.0,8.6,4,2018-06-24 12:51:48.017913,city rose hotel suites
"jbeil byblos, lebanon",lebanon,besthoteloffers.net,1719055,4483.0,9.1,3,2018-06-24 12:51:48.017913,monoberge byblos hotel
"amman, jordan",jordan,besthoteloffers.net,1562678,4536.0,7.3,5,2018-06-24 12:51:48.017913,bristol hotel amman
"ain el mreisse, beirut",lebanon,besthoteloffers.net,2677042,4347.0,9.0,5,2018-06-24 12:51:48.017913,1866 court & suites hotel
"amman, jordan",jordan,besthoteloffers.net,2958031,1936.0,8.8,2,2018-06-24 12:51:48.017913,nishan hotel
"achrafieh, beirut",lebanon,besthoteloffers.net,2079519,6357.0,8.9,5,2018-06-24 12:51:48.017913,o monot boutique luxury hotel
"amman, jordan",jordan,besthoteloffers.net,1764344,1462.0,8.5,2,2018-06-24 12:51:48.017913,amman pasha hotel
"kfardebiane, lebanon",lebanon,besthoteloffers.net,1238386,11273.0,7.7,5,2018-06-24 12:51:48.017913,intercontinental mzaar mountain resort & spa
"aqaba, jordan",jordan,besthoteloffers.net,1976393,1477.0,8.1,1,2018-06-24 12:51:48.017913,golden rose hotel aqaba
"raoucheh, beirut",lebanon,besthoteloffers.net,1043756,4210.0,7.9,5,2018-06-24 12:51:48.017913,ramada plaza beirut raouche
"amman, jordan",jordan,besthoteloffers.net,1734316,3499.0,8.6,4,2018-06-24 12:51:48.017913,ayass hotel
"achrafieh, beirut",lebanon,besthoteloffers.net,1719181,7094.0,9.3,4,2018-06-24 12:51:48.017913,parktower suites
"amman, jordan",jordan,besthoteloffers.net,1519330,5488.0,6.7,4,2018-06-24 12:51:48.017913,amman airport hotel
"aqaba, jordan",jordan,besthoteloffers.net,1537074,1746.0,7.0,3,2018-06-24 12:51:48.017913,bedouin garden village
"jounieh, lebanon",lebanon,besthoteloffers.net,2330197,2037.0,8.2,2,2018-06-24 12:51:48.017913,vista del mar hotel
"amman, jordan",jordan,besthoteloffers.net,1041509,2300.0,6.2,4,2018-06-24 12:51:48.017913,days inn hotel & suites
"manara, beirut",lebanon,besthoteloffers.net,1535542,2671.0,7.6,3,2018-06-24 12:51:48.017913,bella riva hotel beirut
"amman, jordan",jordan,besthoteloffers.net,1650815,688.0,9.0,1,2018-06-24 12:51:48.017913,sydney hotel amman
"solidere, beirut",lebanon,besthoteloffers.net,1043750,4483.0,7.0,4,2018-06-24 12:51:48.017913,monroe hotel
"aqaba, jordan",jordan,besthoteloffers.net,1658482,1865.0,6.2,3,2018-06-24 12:51:48.017913,mina hotel aqaba
"tyre, lebanon",lebanon,besthoteloffers.net,1761029,5467.0,7.0,4,2018-06-24 12:51:48.017913,platinum hotel
"al hamra, beirut",lebanon,besthoteloffers.net,1155237,1970.0,5.3,3,2018-06-24 12:51:48.017913,le marly hotel
"amman, jordan",jordan,besthoteloffers.net,3066025,3359.0,9.7,4,2018-06-24 12:51:48.017913,harir palace hotel
"jounieh, lebanon",lebanon,besthoteloffers.net,1719521,4054.0,8.7,4,2018-06-24 12:51:48.017913,portaluna hotel & resort
"achrafieh, beirut",lebanon,besthoteloffers.net,1043763,10914.0,9.0,5,2018-06-24 12:51:48.017913,albergo hotel beirut
"amman, jordan",jordan,besthoteloffers.net,1670660,2271.0,8.6,3,2018-06-24 12:51:48.017913,the conroy boutique hotel
"beirut, lebanon",lebanon,besthoteloffers.net,1155239,2032.0,5.0,4,2018-06-24 12:51:48.017913,beau rivage hotel beirut
"sweimeh, jordan",jordan,besthoteloffers.net,1553241,5384.0,8.3,5,2018-06-24 12:51:48.017913,holiday inn resort dead sea
"jounieh, lebanon",lebanon,besthoteloffers.net,1642251,3118.0,7.3,4,2018-06-24 12:51:48.017913,rivoli palace hotel
"ehden, lebanon",lebanon,besthoteloffers.net,2958481,16111.0,,3,2018-06-24 12:51:48.017913,ehden village residences
"raoucheh, beirut",lebanon,besthoteloffers.net,2968441,3430.0,7.0,4,2018-06-24 12:51:48.017913,elite hotel & spa
"amman, jordan",jordan,besthoteloffers.net,1360137,2269.0,6.3,4,2018-06-24 12:51:48.017913,arena space hotel amman
"jal el dib, lebanon",lebanon,besthoteloffers.net,1719780,4677.0,8.6,4,2018-06-24 12:51:48.017913,boutique hotel beirut
"amman, jordan",jordan,besthoteloffers.net,1529614,2375.0,3.0,4,2018-06-24 12:51:48.017913,mena tyche hotel amman
"beirut, lebanon",lebanon,besthoteloffers.net,1761090,1208.0,7.3,2,2018-06-24 12:51:48.017913,talal hotel
"amman, jordan",jordan,besthoteloffers.net,1660135,1296.0,4.0,3,2018-06-24 12:51:48.017913,ya hala suites
